label,text
spam,免费领取最新课程资料，添加客服微信立即获取全部视频。
spam,尊敬的用户您已中奖五万元，请点击链接填写银行卡信息。
spam,低价代开发票全国包邮，详情咨询客服马上回复。
spam,今日特惠理财收益翻倍，注册即可领取新人红包。
spam,点击链接下载内部资料，错过今天再等一年。
spam,无需抵押快速贷款，额度高放款快，回复1了解详情。
spam,本周股票群免费开放名额，进群获取明日涨停股。
spam,限时秒杀保健品，买一送三，货到付款。
spam,系统检测到您的账户异常，请立即登录以下网址验证身份。
spam,恭喜获得苹果手机一部，请尽快提交收货地址。
ham,老师您好，明天下午三点在学院会议室开组会，请准时参加。
ham,附件是本周实验报告初稿，请帮我看一下有没有问题。
ham,今天晚上一起讨论自然语言处理课程作业吗。
ham,图书馆借的书我已经续借成功，下周再还。
ham,请把项目代码推到仓库，明天课堂上需要演示。
ham,实验数据我整理好了，稍后发到班级群里。
ham,下午的机器学习课改到第二教学楼308教室。
ham,这是上次会议纪要，麻烦确认一下是否需要补充。
ham,周末回家吗，如果回去帮我带一下身份证复印件。
ham,你的快递我已经代签了，晚点回来记得拿。
